symptoms_text,specialty
"đau đầu chóng mặt buồn nôn mờ mắt",Thần kinh
"đau đầu nửa đầu nhạy cảm ánh sáng",Thần kinh
"run tay chân đi lại khó khăn nói khó",Thần kinh
"mất ngủ lo lắng hồi hộp căng thẳng",Thần kinh
"đau ngực khó thở tim đập nhanh hồi hộp",Tim mạch
"đau ngực trái lan lên vai trái đổ mồ hôi",Tim mạch
"huyết áp cao đau đầu sau gáy chóng mặt",Tim mạch
"nhịp tim không đều phù chân mệt mỏi",Tim mạch
"ho khan sốt khó thở đau họng",Hô hấp
"ho có đờm đau ngực khi thở sâu sốt cao",Hô hấp
"khó thở ban đêm thở rít tiếng khò khè",Hô hấp
"viêm mũi nghẹt mũi chảy nước mũi hắt hơi",Hô hấp
"đau bụng buồn nôn tiêu chảy nôn mửa",Tiêu hóa
"đau thượng vị sau ăn ợ hơi ợ chua",Tiêu hóa
"chướng bụng đầy hơi táo bón lâu ngày",Tiêu hóa
"vàng da vàng mắt mệt mỏi chán ăn",Tiêu hóa
"đau khớp sưng khớp cứng khớp buổi sáng",Cơ xương khớp
"đau lưng dưới lan xuống chân tê bì",Cơ xương khớp
"đau cổ vai gáy hạn chế vận động cổ",Cơ xương khớp
"sưng đau khớp gối khó lên xuống cầu thang",Cơ xương khớp
"ngứa nổi mẩn đỏ da khô bong tróc",Da liễu
"nổi mề đay phát ban toàn thân ngứa nhiều",Da liễu
"mụn trứng cá nhiều viêm đỏ mủ",Da liễu
"rụng tóc nhiều da đầu ngứa gàu",Da liễu
"tiểu nhiều khát nước mệt mỏi sụt cân",Nội tiết
"tăng cân nhanh mệt mỏi lạnh tay chân",Nội tiết
"bướu cổ to tim đập nhanh sụt cân",Nội tiết
"rối loạn kinh nguyệt mụn trứng cá rậm lông",Nội tiết
"trẻ sốt cao co giật quấy khóc",Nhi khoa
"trẻ tiêu chảy nôn ói mất nước",Nhi khoa
"trẻ ho nhiều đêm khó thở khò khè",Nhi khoa
"trẻ phát ban đỏ sốt nổi hạch",Nhi khoa
"đau bụng dưới kinh nguyệt không đều ra máu bất thường",Sản phụ khoa
"khí hư bất thường ngứa âm đạo mùi lạ",Sản phụ khoa
"đau vú cứng vú tiết dịch núm vú",Sản phụ khoa
"buồn nôn ốm nghén trễ kinh nghi thai",Sản phụ khoa
"mắt đỏ chảy nước mắt nhìn mờ đau mắt",Nhãn khoa
"mờ mắt khó đọc chữ nhức mắt nhìn đôi",Nhãn khoa
"mắt khô rát cộm ánh sáng nhạy cảm",Nhãn khoa
"đau tai ù tai chảy mủ tai nghẹt mũi",Tai mũi họng
"đau họng khó nuốt sốt nổi hạch cổ",Tai mũi họng
"mất giọng khàn tiếng nuốt vướng họng",Tai mũi họng
"tiểu buốt tiểu rắt đau thắt lưng nước tiểu đục",Tiết niệu
"phù mặt phù chân tiểu ít huyết áp cao",Tiết niệu
"tiểu ra máu đau hông lưng tiểu khó",Tiết niệu
"mệt mỏi toàn thân sốt nhẹ đau cơ không rõ nguyên nhân",Nội tổng quát
"sụt cân nhanh đổ mồ hôi đêm mệt mỏi",Nội tổng quát
"đau nhiều vị trí không rõ ràng mệt mỏi kéo dài",Nội tổng quát
